Energy,Energy,Leviro,3VP7XdpaFdzrSxXpTYlZfY,2021-01-08,47,127165,0.762,0.352,0.515,0.00435,0.168,0.116,-12.693,0.036,99.958,2,4,study
Walk Alone,Walk Alone,SRTW,4ppvMY6alIgRiEnpPzAg43,2020-02-14,62,157200,0.637,0.085,0.421,0.439,0.188,0.321,-11.551,0.0414,99.986,6,4,study
Paris,Paris,Loumé,7a2Ret5pFVwZVz2a7cEJSc,2020-11-20,59,126969,0.743,0.144,0.46,1.1e-06,0.107,0.503,-10.408,0.202,99.157,6,4,study
Close My Eyes,Close My Eyes,SRTW,1TqYXVVdGROgG0f1PX47S4,2020-12-18,58,115578,0.61,0.719,0.339,0.00062,0.106,0.265,-10.204,0.0837,94.957,8,4,study
Monument Valley,Monument Valley,Leviro,0hdwByRwt345Z5nbtkFZc5,2020-12-11,59,121489,0.694,0.486,0.419,1.06e-05,0.122,0.165,-12.079,0.0507,96.964,7,4,study
The Morning After,The Morning After,Tim Missel,5ua7qZZVNiysfAbcN5IS6e,2020-06-05,63,136500,0.443,0.996,0.00669,0.959,0.101,0.198,-28.435,0.0411,109.066,6,4,study
In Absentia,In Absentia,Ximena Lopez,4JCgdyOYbYasqg1NWLEAnd,2020-12-24,47,179374,0.458,0.987,0.016,0.938,0.103,0.232,-20.345,0.0431,72.312,10,3,study
Le Beau,Le Beau,Ossie Woods,2sXivDlzfbHQAPrGYKhWbP,2020-10-19,66,205302,0.397,0.991,0.0173,0.962,0.115,0.15,-24.128,0.0465,129.808,5,3,study
A New Day,A New Day,Norman Dück,3f3o11I6fICW22aTW3ZK2k,2020-12-04,66,138073,0.3,0.991,0.0547,0.941,0.105,0.18,-22.429,0.0502,203.33,6,4,study
Late Spring,Late Spring,Anthony Bertoli,5DXfJx64sxj7H7ngSG6RyI,2020-11-29,65,180460,0.461,0.993,0.00828,0.944,0.102,0.258,-29.233,0.037,69.875,6,3,study
Love Is A Mirror,Love Is A Mirror,Leonore Baldwin,2Y3etIESkHdEBq4L7RL70W,2020-11-06,56,150874,0.351,0.987,0.0158,0.932,0.106,0.176,-27.558,0.0393,63.542,3,4,study
Satin Night,Light Textures,Monty Reiss,6FDLRVWrSK9eHkg1sMF8Hl,2020-10-16,65,140666,0.41,0.992,0.0105,0.959,0.104,0.12,-25.507,0.0473,65.255,6,3,study
Tree Rhythm,Pigeon Prelude,Gerald Sherman,7wksCozvMX6I0imUoTWBCE,2020-10-08,63,170740,0.503,0.98,0.0409,0.851,0.108,0.485,-30.746,0.0498,120.425,3,1,study
